['jump', '2']
['jump', '0']
['jump', '0']
['jump', '32']
['jump', '32']
['jump', '32']
['jump', '32']
['jump', '32']
['jump', '32']
['jump', '32']
['jump', '32']
['jump', '32']
['jump', '32']
['jump', '32']
['jump', '3']
['jump', '0']
['jump', '21']
['SQUAT', '21']
['SQUAT', '0']
['SQUAT', '-1']
['SQUAT', '.5']
['SQUAT', '42']
['undefined', 'undefined']
['undefined', 'undefined']
['undefined', 'undefined']
['undefined', 'undefined']
['undefined', 'undefined']
['fdsa', '2']
['fdsa', '2']
['f', '222']
['ffff', '1212']
['why', 'work']
['why', 'work']
['sad', 'me']
['s', '12']
['fd', '1']
['12', 'why']
['12', 'why']
['fds', 'sss']
['fds', 'sss']
['fds', 'sss']
['fds', 'sss']
['ff', '1']
['why', 'nowork']
['pls', 'work']
['f', '3']
['f', '122']
['RRR', '123']
['pantilt', '30', '-10']
['relpantilt', 'undefined', 'undefined']
['relpantilt', 'WHAT', '-36']
['getthedoor', 'what', 'yes']
['jump', 'undefined', 'undefined']
['home', 'undefined', 'undefined']
['relpantilt', '0', '0']
['relpantilt', '0', '0']
['pantilt', '0', '0']
['home', 'undefined', 'undefined']
['pantilt', '0', '0']
['pantilt', '4', '-5']
['HITAL', 'undefined', 'undefined']
(2020-03-13, 22:38:56): ['pantilt', '0', '0']
(2020-03-13, 22:40:30): ['pantilt', '0', '0']
(2020-03-13, 22:40:37): ['home', 'undefined', 'undefined']
(2020-03-13, 22:40:49): ['home', 'undefined', 'undefined']
(2020-03-13, 22:46:18): ['home', 'undefined', 'undefined']
(2020-03-13, 22:46:30): ['pantilt', '0', '0']
(2020-03-13, 22:56:43): ['mem', 'goto', '1']
(2020-03-13, 22:57:15): ['mem', 'goto', '1']
(2020-03-13, 22:57:18): ['home', 'undefined', 'undefined']
(2020-03-13, 22:57:21): ['mem', 'goto', '1']
(2020-03-13, 22:57:25): ['home', 'undefined', 'undefined']
(2020-03-13, 22:57:29): ['mem', 'goto', '1']
(2020-03-13, 22:57:34): ['zoom', '6', 'undefined']
(2020-03-13, 22:58:14): ['zoom', '59', 'undefined']
(2020-03-13, 22:58:21): ['zoom', '0', 'undefined']
(2020-03-13, 22:58:26): ['home', 'undefined', 'undefined']
(2020-03-13, 22:58:51): ['mem', 'goto', '1']
(2020-03-13, 22:59:01): ['zoom', '100', 'undefined']
(2020-03-13, 22:59:07): ['mem', 'set', '2']
(2020-03-13, 22:59:13): ['mem', 'goto', '1']
(2020-03-13, 22:59:16): ['mem', 'goto', '2']
(2020-03-13, 22:59:21): ['mem', 'goto', '1']
(2020-03-13, 23:07:39): ['pantilt', '0', '0']
(2020-03-13, 23:07:46): ['relpantilt', '5', '4']
(2020-03-13, 23:07:50): ['relpantilt', '5', '4']
(2020-03-13, 23:08:04): ['pantilt', '90', '-10']
(2020-03-13, 23:08:24): ['pantilt', '360', '-360']
(2020-03-13, 23:08:34): ['pantilt', '-360', '360']
(2020-03-13, 23:08:51): ['relpantilt', '180', '-20']
(2020-03-13, 23:09:01): ['relpantilt', '0', '-20']
(2020-03-13, 23:09:09): ['relpantilt', '7', '0']
(2020-03-13, 23:09:20): ['home', 'undefined', 'undefined']
(2020-03-13, 23:09:25): ['zoom', '100', 'undefined']
(2020-03-13, 23:09:39): ['relpantilt', '-5', '-5']
(2020-03-13, 23:09:43): ['home', 'undefined', 'undefined']
(2020-03-13, 23:09:51): ['relpantilt', '-6', '-5']
(2020-03-13, 23:09:58): ['zoom', '0', 'undefined']
(2020-03-13, 23:10:06): ['home', 'undefined', 'undefined']
(2020-03-13, 23:15:52): ['relpantilt', '5', '0']
(2020-03-13, 23:16:58): ['home', 'undefined', 'undefined']
(2020-03-13, 23:22:49): ['pantilt', '99', '0']
(2020-03-13, 23:23:33): ['zoom', '50', 'undefined']
(2020-03-13, 23:23:44): ['zoom', '0', 'undefined']
(2020-03-13, 23:24:21): ['mem', 'goto', '6']
(2020-03-13, 23:24:28): ['mem', 'goto', '4']
